Zip,City,State,HOH College,Spouse College
38501-9469,Cookeville,TN,Agriculture,
37069-8701,Franklin,TN,Agriculture,
37375-2644,Sewanee,TN,Agriculture,
37312-7502,Cleveland,TN,Agriculture,
37334-2104,Fayetteville,TN,Agriculture,
38506-5914,Cookeville,TN,Agriculture,
20008-5107,Washington,DC,Agriculture,
38506-9632,Cookeville,TN,Agriculture,
37167-5235,Smyrna,TN,Agriculture,
32565-9239,Jay,FL,Agriculture,
73013-6029,Edmond,OK,Agriculture,
37090-1015,Lebanon,TN,Agriculture,
37206-3709,Nashville,TN,Agriculture,
37137-3757,Nunnelly,TN,Agriculture,
